21018,2,8,14,23,25,32,6,"924,046,536",3,"10,000,000",128,"193,330","352,299,530",2021/2/23
21017,9,15,18,29,32,33,2,"879,807,720",6,"8,959,033",116,"255,972","442,443,732",2021/2/21
21016,3,8,9,13,15,18,10,"844,483,666",16,"6,134,153",192,"118,140","447,622,614",2021/2/7
21015,6,14,16,26,28,29,7,"874,580,915",6,"7,672,352",93,"215,512","373,264,066",2021/2/4
21014,4,15,21,25,29,33,6,"860,487,095",3,"10,000,000",96,"270,821","365,029,152",2021/2/2
21013,6,9,12,16,27,31,6,"812,490,648",17,"5,756,403",169,"95,109","403,024,326",2021/1/31
21012,3,6,14,18,20,26,1,"862,128,803",17,"5,854,248",218,"83,269","365,486,356",2021/1/28
21011,5,10,16,23,27,33,14,"907,192,691",18,"5,425,200",228,"41,960","358,439,884",2021/1/26
21010,1,4,11,19,32,33,5,"976,145,268",7,"8,060,622",129,"207,600","394,795,416",2021/1/24
21009,2,4,7,24,25,32,13,"952,228,282",4,"10,000,000",57,"502,273","367,324,734",2021/1/21
21008,1,5,7,14,18,33,7,"906,339,544",4,"8,728,131",86,"216,751","358,122,646",2021/1/19
21007,2,4,12,21,25,32,16,"885,330,100",3,"10,000,000",104,"298,114","389,232,822",2021/1/17
21006,6,8,22,24,25,26,1,"822,318,331",10,"7,377,222",194,"153,171","367,900,704",2021/1/14
21005,7,9,14,26,30,31,4,"806,944,718",14,"6,353,946",76,"311,764","359,757,108",2021/1/12
21004,2,3,7,8,17,22,15,"824,817,771",2,"10,000,000",208,"145,638","396,531,778",2021/1/10
21003,6,9,16,18,22,29,11,"753,939,585",5,"9,406,368",136,"202,498","360,514,540",2021/1/7
21002,6,10,13,25,26,32,11,"718,352,017",10,"7,105,919",185,"142,291","374,374,440",2021/1/5
21001,2,3,13,18,20,31,11,"710,439,245",10,"7,034,106",126,"201,796","411,170,524",2021/1/3
20134,2,9,10,20,22,26,1,"704,501,324",48,"5,382,786",275,"83,517","399,565,532",2020/12/31
20133,3,19,22,23,27,29,7,"893,973,468",3,"10,000,000",99,"283,877","370,330,222",2020/12/29
20132,1,4,11,12,14,23,4,"839,661,890",5,"10,000,000",106,"309,129","425,174,496",2020/12/27
20131,8,19,22,26,27,30,7,"791,358,796",10,"6,733,037",139,"155,848","394,370,394",2020/12/24
20130,8,9,11,14,17,29,16,"793,700,272",9,"7,096,662",160,"147,421","405,085,034",2020/12/22
20129,1,2,5,15,28,33,4,"786,807,887",14,"6,613,195",116,"243,370","428,354,318",2020/12/20
20128,8,10,15,16,23,26,10,"794,699,858",14,"6,055,174",137,"134,785","395,094,864",2020/12/17
20127,1,4,18,19,26,31,7,"824,075,658",9,"6,838,584",183,"113,027","385,288,238",2020/12/15
20126,3,7,12,14,23,28,11,"823,570,698",33,"5,506,107",337,"61,949","423,827,948",2020/12/13
20125,5,12,16,26,30,31,13,"942,641,447",8,"8,008,557",162,"185,713","403,248,064",2020/12/10
20124,16,18,19,20,29,33,12,"916,453,174",3,"10,000,000",53,"485,568","394,367,604",2020/12/8
20123,1,3,18,19,26,29,3,"869,247,735",5,"10,000,000",106,"343,394","442,277,628",2020/12/6
20122,12,15,17,24,26,31,15,"810,048,147",7,"8,506,055",484,"63,384","416,050,434",2020/12/3
